Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
28395,610.291,208.178116708527,173.888747041636,1.19719142411602,0.54981218713835,28715.00,190.1410972745110,0.7639225181598,0.9888559986070,0.9580271262501,0.9133577547958,0.0073315061352,0.0031472891673,0.8342223882456,0.9987238890132,SEKER
28734,638.018,200.524795663648,182.734419351024,1.09735646068106,0.41178525136724,29172.00,191.2727504858450,0.7839681327076,0.9849856026327,0.8870336365529,0.9538608422605,0.0069786592769,0.0035636237121,0.9098505063979,0.9984303314497,SEKER
29380,624.110,212.826129860206,175.931142612714,1.20971265632436,0.56272731675041,29690.00,193.4109040988100,0.7781132475237,0.9895587739980,0.9478494730164,0.9087742385103,0.0072439118400,0.0030477332172,0.8258706165800,0.9990661373633,SEKER
30008,645.884,210.557998960925,182.516515695305,1.15363805932189,0.49861597640272,30724.00,195.4670618247810,0.7826812728221,0.9766957427418,0.9039363743173,0.9283288347599,0.0070167288377,0.0032145620794,0.8617944254468,0.9941988485068,SEKER
30140,620.134,201.847882166738,190.279278786648,1.06079801990978,0.33367965777318,30417.00,195.8965029762340,0.7730980351921,0.9908932504849,0.9848770693509,0.9705155232415,0.0066970100254,0.0036649719645,0.9419003808527,0.9991660589608,SEKER
30279,634.927,212.560556425386,181.510181599753,1.17106684898868,0.52040066029126,30600.00,196.3477022402760,0.7756884846932,0.9895098039216,0.9438517832506,0.9237259515229,0.0070200652738,0.0031527787390,0.8532696335169,0.9992357810603,SEKER
30477,670.033,211.050155321840,184.039050112943,1.14676833635210,0.48947789445726,30970.00,196.9886331870280,0.7624015009381,0.9840813690668,0.8530798687748,0.9333735523039,0.0069248992789,0.0032420162454,0.8711861881403,0.9990487356266,SEKER
30519,629.727,212.996755056346,182.737203764065,1.16559053476242,0.51375955796359,30847.00,197.1243203305280,0.7706818181818,0.9893668752229,0.9671092439902,0.9254803918416,0.0069791524970,0.0031582851464,0.8565139556832,0.9983445596363,SEKER
30685,635.681,213.534145164516,183.157146295974,1.16585210832808,0.51408086034729,31044.00,197.6596960186840,0.7715614785014,0.9884357685865,0.9542398075022,0.9256584976908,0.0069589097332,0.0031515495188,0.8568436543473,0.9989529809283,SEKER
30834,631.934,217.227812764409,180.897468573821,1.20083390042444,0.55364222468432,31120.00,198.1390121161500,0.7836828059474,0.9908097686375,0.9702782301206,0.9121254299561,0.0070450740340,0.0030080398121,0.8319727999725,0.9990611424380,SEKER
30917,640.765,213.560089393098,184.439870859033,1.15788461788895,0.50410236541216,31280.00,198.4055115277220,0.7708052854650,0.9883951406650,0.9462581799326,0.9290383427520,0.0069075294949,0.0031742202948,0.8631122423033,0.9993843888746,SEKER
31091,638.558,210.486254870828,188.326847620140,1.11766462153810,0.44662192356686,31458.00,198.9630384904720,0.7863773174495,0.9883336512175,0.9581728356300,0.9452543046698,0.0067700059461,0.0033339836684,0.8935057004968,0.9986397105878,SEKER
31107,640.594,214.648548507602,184.969252585646,1.16045529463451,0.50736587529687,31423.00,199.0142269237970,0.7610461418016,0.9899436718327,0.9525817569197,0.9271631618639,0.0069003294599,0.0031453882570,0.8596315287174,0.9975639589349,SEKER
31158,642.626,216.484836208562,183.644312156120,1.17882679657687,0.52951425095073,31492.00,199.1773022582100,0.7987592288761,0.9893941318430,0.9481190040168,0.9200519802982,0.0069479695811,0.0030710517082,0.8464956464506,0.9978717512216,SEKER
